Year	Month	Quantity	Unit
2020	january	 48 825 	kWh
2020	feburary	 66 570 	kWh
2020	march	 90 990 	kWh
2020	april	 89 640 	kWh
2020	may	 5 685 	kWh
2020	june	 44 715 	kWh
2020	july	 43 305 	kWh
2020	august	 49 275 	kWh
2020	september	 62 865 	kWh
2020	october	 62 955 	kWh
2020	november	 83 505 	kWh
2020	december	 80 550 	kWh
2021	january	 62 870 	kWh
2021	feburary	 59 429 	kWh
2021	march	 63 360 	kWh
2021	april	 79 170 	kWh
2021	may	 68 970 	kWh
2021	june	 61 095 	kWh
2021	july	 70 545 	kWh
2021	august	 31 785 	kWh
2021	september	 55 365 	kWh
2021	october	 74 235 	kWh
2021	november	 63 765 	kWh
2021	december	 73 410 	kWh
2022	january	 54 120 	kWh
2022	feburary	 63 765 	kWh
2022	march	 91 785 	kWh
2022	april	 62 150 	kWh
2022	may	 76 500 	kWh
2022	june	 49 770 	kWh
2022	july	 72 840 	kWh
2022	august	 79 515 	kWh
2022	september	 85 215 	kWh
2022	october	 76 785 	kWh
2022	november	 83 610 	kWh
