"Year	Month	Quantity	Unit"
"2021	january	0	kg"
"2021	feburary	0	kg"
"2021	march	0	kg"
"2021	april	0	kg"
"2021	may	0	kg"
"2021	june	0	kg"
"2021	july	0	kg"
"2021	august	0	kg"
"2021	september	0	kg"
"2021	october	0	kg"
"2021	november	 58,00 	kg"
"2021	december	 50,00 	kg"
"2022	january	 50,00 	kg"
"2022	feburary	 50,00 	kg"
"2022	march	 60,00 	kg"
"2022	april	 45,00 	kg"
"2022	may	 50,00 	kg"
"2022	june	 50,00 	kg"
"2022	july	 100,00 	kg"
"2022	august	 120,00 	kg"
"2022	september	 140,00 	kg"
"2022	october	 160,00 	kg"
"2022	november	0	kg"
"2022	december	0	kg"
