Year	Month	Quantity	Unit
2021	january	0	kg
2021	feburary	0	kg
2021	march	0	kg
2021	april	0	kg
2021	may	 33,43 	kg
2021	june	0	kg
2021	july	0	kg
2021	august	0	kg
2021	september	0	kg
2021	october	 44,13 	kg
2021	november	 13,45 	kg
2021	december	 19,52 	kg
2022	january	 17,52 	kg
2022	feburary	 7,54 	kg
2022	march	 11,59 	kg
2022	april	 66,04 	kg
2022	may	 24,11 	kg
2022	june	 27,50 	kg
2022	july	 117,60 	kg
2022	august	 167,08 	kg
2022	september	 100,39 	kg
2022	october	 35,41 	kg
2022	november	0	kg
2022	december	0	kg
